,Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description
102,Soorarai Pottru,2020,153,9.1,80,"2,459,710",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
103,The Shawshank Redemption,1994,142,9.3,100,"1,701,585",$134.97M,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
104,The Godfather,1972,175,9.2,80,"2,459,710",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
105,Soorarai Pottru,2020,153,9.1,100,"1,701,585",$134.97M,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
106,The Shawshank Redemption,1994,142,9.3,#####,"89,663",*****,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
107,The Godfather,1972,175,9.2,84,"2,415,236",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
108,Soorarai Pottru,2020,153,9.1,90,"1,181,867",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
109,The Dark Knight,2008,152,9.0,96,"728,178",$4.36M,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
110,The Godfather: Part II,1974,202,9.0,#####,"79,185",*****,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
111,12 Angry Men,1957,96,9.0,94,"1,707,354",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
112,Dara of Jasenovac,2020,130,8.9,94,"1,905,606",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
113,The Lord of the Rings: The Return of the King,2003,201,8.9,94,"1,264,630",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
114,Pulp Fiction,1994,154,8.9,74,"2,166,798",$292.58M,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
115,Schindler's List,1993,195,8.9,#####,"99,519",*****,"This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
116,Inception,2010,148,8.8,66,"1,937,371",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
